price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4730256,3765,5,2,3,yes,no,yes,no,no,1,no,unfurnished
4742265,6629,4,2,3,yes,no,no,no,yes,0,no,semi-furnished
2960630,3207,5,2,3,yes,yes,yes,no,yes,0,yes,furnished
5923118,5525,1,2,3,yes,no,yes,no,no,2,yes,furnished
5716308,6660,4,2,3,yes,no,yes,no,yes,2,yes,furnished
1750000,3444,4,2,3,yes,no,no,no,no,3,yes,furnished
5904139,5552,4,2,4,no,no,yes,no,no,2,yes,semi-furnished
1750000,9027,4,2,2,yes,no,no,no,yes,2,no,unfurnished
5244095,1650,4,2,3,yes,no,no,no,yes,2,yes,semi-furnished
4619956,2795,4,2,3,yes,no,yes,no,yes,2,yes,unfurnished
2426853,6460,3,4,4,no,no,no,no,no,3,yes,furnished
9251057,5708,4,2,1,yes,yes,no,no,yes,2,yes,semi-furnished
2441514,7726,4,2,3,yes,no,no,no,yes,2,yes,semi-furnished
5854790,3411,4,2,2,yes,no,yes,no,yes,2,yes,unfurnished
6543649,5877,5,2,1,no,yes,yes,no,no,2,yes,furnished
3220623,6141,4,2,3,yes,no,no,yes,yes,2,yes,furnished
3176865,3358,4,2,3,yes,no,yes,no,yes,0,yes,semi-furnished
3730372,3854,3,2,3,yes,no,no,no,yes,3,yes,unfurnished
3613599,4227,1,2,3,no,no,no,no,yes,0,no,semi-furnished
8594376,9308,4,2,4,yes,no,no,no,yes,0,yes,furnished
4842582,2808,3,4,3,yes,no,no,no,yes,3,yes,furnished
1750000,6719,3,2,3,yes,no,no,no,no,2,no,furnished
4122196,4232,3,2,2,yes,no,no,no,no,2,yes,furnished
3042991,1734,4,4,4,yes,yes,no,no,yes,2,yes,unfurnished
6489532,4166,4,2,2,no,yes,no,no,yes,2,yes,furnished
3614793,6245,4,2,4,yes,no,no,no,no,3,no,semi-furnished
6954723,6375,4,2,3,yes,no,no,no,yes,3,yes,unfurnished
7574803,6350,4,2,4,yes,no,yes,no,no,3,yes,semi-furnished
5386665,6323,3,2,3,yes,no,yes,no,yes,0,yes,semi-furnished
8240941,3000,4,2,3,yes,no,yes,no,yes,2,yes,semi-furnished
3548783,8569,3,4,3,yes,no,no,no,no,2,yes,semi-furnished
4649671,2165,5,2,3,yes,no,no,no,no,2,no,furnished
4633993,9569,4,4,3,yes,no,no,no,yes,1,no,unfurnished
3708862,8473,4,4,3,yes,no,yes,no,no,0,yes,furnished
6151294,6362,3,2,1,yes,no,no,no,no,0,yes,furnished
6211715,6982,4,4,3,yes,no,yes,no,yes,2,yes,unfurnished
5764150,7419,3,2,3,yes,no,no,no,no,0,yes,furnished
4807140,8555,5,4,3,yes,yes,yes,no,yes,3,yes,furnished
4989929,3955,4,2,3,no,yes,yes,no,no,0,yes,semi-furnished
7033228,8352,4,4,4,yes,no,yes,no,yes,2,yes,furnished
4411594,6160,4,2,3,yes,no,no,no,no,0,no,unfurnished
3745019,6576,3,2,4,no,no,no,yes,yes,3,yes,semi-furnished
6619047,6521,2,2,3,yes,no,no,no,yes,0,yes,furnished
7835499,2387,4,4,3,yes,no,yes,no,no,2,yes,furnished
1750000,7641,4,2,3,yes,yes,yes,no,yes,2,yes,semi-furnished
6768859,4970,3,2,4,yes,no,no,no,no,3,yes,furnished
9109907,2190,3,2,4,yes,yes,no,no,yes,3,no,furnished
5163362,6596,1,2,4,yes,no,no,no,yes,2,yes,furnished
4578824,5228,5,2,4,no,no,no,no,yes,3,yes,semi-furnished
1750000,4211,4,4,3,yes,yes,no,no,yes,1,yes,unfurnished
3370173,5334,5,4,4,yes,no,yes,no,yes,2,yes,semi-furnished
7323464,3538,3,2,3,yes,no,yes,no,yes,2,no,furnished
2301210,5946,4,2,2,yes,no,no,no,no,2,yes,furnished
2860527,4299,4,2,4,yes,yes,no,no,yes,3,yes,semi-furnished
5622142,6876,4,2,3,yes,no,no,no,yes,2,yes,furnished
7854284,3819,4,4,4,yes,no,yes,yes,yes,2,no,semi-furnished
2763467,6793,3,2,4,yes,no,yes,no,yes,2,yes,furnished
3410573,3257,2,4,4,no,no,no,no,no,2,yes,semi-furnished
2714869,3597,5,2,3,no,yes,no,no,no,3,no,furnished
6874702,4744,4,2,4,yes,no,yes,no,yes,3,yes,unfurnished
4659137,6020,4,2,2,yes,yes,no,no,yes,2,yes,unfurnished
5950309,5309,4,2,4,yes,no,no,no,yes,1,yes,semi-furnished
7943734,7458,3,4,4,yes,no,no,yes,yes,2,yes,semi-furnished
5725718,6716,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
7685383,1871,4,4,1,yes,no,no,no,no,3,yes,furnished
4913177,6810,3,2,4,yes,no,no,no,no,2,yes,semi-furnished
5432248,5437,2,2,3,yes,yes,no,no,yes,3,yes,semi-furnished
3712262,7558,3,4,3,yes,no,no,no,yes,1,no,furnished
5395750,5019,3,4,3,yes,yes,no,no,yes,2,no,semi-furnished
6710381,8079,3,2,3,yes,no,no,no,yes,2,no,furnished
6263404,6222,4,2,3,no,no,no,no,yes,0,yes,unfurnished
6479687,5437,4,4,3,yes,no,no,no,yes,2,no,furnished
8533578,8429,5,4,3,yes,no,no,no,yes,2,yes,furnished
5450906,7503,4,2,3,yes,yes,no,no,yes,0,yes,furnished
3307812,3636,4,4,3,no,yes,yes,no,yes,2,yes,furnished
7810245,6257,3,2,3,no,yes,yes,no,no,3,yes,furnished
4882732,7811,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
4700959,5895,4,2,3,yes,no,no,no,no,2,yes,unfurnished
4162612,1650,4,4,3,yes,no,no,no,yes,2,yes,unfurnished
5765415,4918,4,2,3,yes,no,no,no,no,2,yes,furnished
6012324,4604,4,2,3,yes,no,no,no,yes,3,yes,semi-furnished
6107902,1650,3,2,1,yes,yes,yes,no,yes,2,no,semi-furnished
6343947,8993,4,2,3,no,no,yes,no,no,2,yes,furnished
7232348,6202,4,2,3,yes,no,yes,no,no,3,no,furnished
6404394,3280,3,2,3,yes,yes,no,no,yes,2,yes,unfurnished
3005839,3952,4,2,3,yes,no,no,no,no,1,yes,unfurnished
7674057,3172,4,2,3,yes,no,no,no,no,0,no,unfurnished
4214935,5314,4,2,4,yes,no,yes,yes,yes,1,yes,furnished
4256937,7918,4,2,4,yes,no,no,no,yes,2,no,furnished
5827627,8611,4,4,4,yes,no,no,no,yes,3,yes,unfurnished
5146932,5034,3,2,3,yes,no,yes,no,yes,1,yes,semi-furnished
9265630,4241,4,2,4,yes,no,no,no,yes,2,no,furnished
2712665,6054,4,2,3,yes,yes,yes,no,yes,2,yes,furnished
2928976,4997,4,2,3,yes,no,no,no,no,0,yes,furnished
4305405,4479,5,2,4,yes,no,no,no,no,0,yes,furnished
6183299,6446,3,2,4,yes,yes,yes,no,yes,0,yes,unfurnished
5074334,3941,3,2,4,yes,no,no,no,no,0,no,semi-furnished
3078824,3619,5,2,4,yes,yes,no,no,yes,2,no,furnished
5129320,5817,4,2,3,yes,no,yes,no,no,3,yes,furnished
4021058,3096,5,4,3,no,yes,yes,no,yes,0,yes,furnished
4780199,1650,4,2,4,yes,no,no,no,no,2,yes,unfurnished
4300947,4977,4,4,4,yes,no,no,no,no,3,yes,semi-furnished
4882458,3316,3,2,4,yes,no,yes,no,no,3,no,unfurnished
2908582,3631,4,2,4,yes,no,yes,no,no,2,yes,semi-furnished
7546205,3824,5,4,4,yes,no,yes,no,yes,3,yes,unfurnished
3023871,6126,4,2,3,yes,no,yes,no,yes,3,yes,semi-furnished
3957195,4954,4,4,3,yes,no,yes,no,yes,2,no,semi-furnished
2554408,6477,3,2,1,yes,no,yes,no,yes,2,yes,semi-furnished
8568256,2551,5,2,4,yes,yes,no,no,yes,2,yes,semi-furnished
7533206,3931,4,2,1,no,no,no,no,yes,2,yes,unfurnished
4102307,6193,4,2,3,no,no,no,no,no,0,yes,unfurnished
4807346,5063,5,2,4,yes,no,no,no,yes,2,yes,semi-furnished
4493069,7074,4,2,1,yes,no,no,no,yes,2,yes,semi-furnished
4905026,5090,5,2,2,yes,no,no,no,no,2,yes,furnished
5970594,7456,4,2,4,no,yes,yes,yes,no,0,yes,unfurnished
6490997,3737,3,4,3,yes,no,no,no,yes,2,yes,furnished
4715742,4095,4,2,4,yes,no,yes,no,no,2,yes,furnished
3929708,4642,4,2,3,yes,no,yes,no,yes,2,yes,furnished
4361598,1650,4,4,4,no,no,no,no,yes,0,yes,furnished
4205741,2997,5,1,4,yes,no,yes,no,yes,2,yes,unfurnished
3324081,6051,4,2,3,yes,no,no,no,yes,3,no,furnished
2809748,5774,3,4,4,yes,no,yes,no,yes,0,yes,semi-furnished
5436141,4769,3,4,3,yes,no,no,no,yes,2,no,unfurnished
4473932,6181,4,2,4,yes,no,no,no,yes,2,yes,furnished
5978628,6453,4,4,3,yes,no,yes,no,yes,3,yes,unfurnished
5930576,5388,4,4,4,yes,no,yes,no,no,0,no,semi-furnished
1750000,5206,3,2,1,yes,no,no,no,no,2,no,furnished
5209056,3674,4,2,4,no,no,yes,no,yes,2,yes,unfurnished
4831792,4542,5,2,2,yes,no,no,no,yes,2,yes,furnished
5704497,5493,6,2,4,yes,no,yes,no,yes,2,no,unfurnished
6560316,4709,4,4,4,yes,no,yes,no,yes,2,yes,furnished
6626771,7769,4,2,4,yes,no,yes,no,yes,3,yes,semi-furnished
4653904,8764,4,2,3,no,yes,yes,no,yes,0,no,semi-furnished
6001484,4744,5,2,3,no,no,yes,no,yes,3,yes,furnished
8899885,4994,5,2,3,yes,yes,no,yes,yes,2,yes,unfurnished
4429997,6184,4,2,3,yes,no,yes,no,no,3,yes,furnished
2956036,6477,4,2,4,yes,no,yes,no,yes,3,no,semi-furnished
7189117,6528,4,2,3,no,no,no,no,yes,2,no,semi-furnished
7670218,2046,4,2,3,yes,no,no,no,no,3,yes,semi-furnished
4881439,8101,4,2,3,yes,yes,no,no,yes,3,yes,unfurnished
2377157,5907,3,4,4,yes,no,no,no,no,2,yes,furnished
8552552,7361,5,2,1,yes,yes,no,no,yes,0,no,unfurnished
4502756,6075,5,4,4,yes,no,yes,no,yes,2,yes,unfurnished
9081105,7039,3,2,4,yes,no,no,no,yes,2,yes,semi-furnished
5896172,6376,3,2,4,no,no,no,no,no,2,no,furnished
6903288,7255,3,2,4,yes,yes,no,no,no,2,yes,furnished
5889635,8958,4,4,4,yes,no,no,no,yes,2,yes,furnished
6781506,2884,4,2,4,yes,yes,no,no,yes,0,no,furnished
3105626,5636,3,2,4,no,no,no,no,yes,3,yes,semi-furnished
4803147,3265,4,2,1,yes,no,no,no,yes,2,yes,semi-furnished
5546564,2367,4,4,3,yes,no,no,no,yes,2,yes,furnished
5711913,10300,4,2,4,yes,no,no,yes,yes,3,yes,unfurnished
4192254,4438,4,4,2,yes,no,no,no,yes,2,no,unfurnished
6761178,3424,4,2,3,yes,no,no,no,no,3,yes,semi-furnished
4582901,5862,5,2,4,yes,yes,yes,no,yes,3,yes,semi-furnished
4633600,6379,4,2,3,yes,yes,no,no,yes,0,yes,unfurnished
4287232,6251,4,2,3,yes,no,no,no,yes,3,no,furnished
2289731,5387,5,4,4,yes,no,no,no,yes,0,yes,unfurnished
5551128,2343,4,4,3,no,no,yes,no,yes,2,yes,semi-furnished
3665038,4176,4,4,3,yes,no,yes,no,yes,2,yes,furnished
3696721,8395,3,4,4,yes,no,yes,no,yes,3,yes,unfurnished
6112532,7915,5,4,2,yes,yes,no,no,no,3,yes,furnished
1750000,5399,5,4,3,yes,no,no,no,no,2,no,furnished
7197232,1832,4,2,2,yes,no,yes,no,yes,2,yes,unfurnished
5943228,1650,5,2,3,yes,no,yes,no,yes,3,yes,furnished
4356023,6719,3,2,3,no,no,no,no,yes,2,yes,semi-furnished
5650718,7813,4,2,3,yes,no,yes,no,yes,3,yes,semi-furnished
5648741,5022,4,2,4,yes,no,yes,no,yes,2,yes,unfurnished
5134488,1688,4,2,3,no,no,no,no,no,3,no,semi-furnished
3190210,7684,4,2,3,yes,no,yes,no,yes,3,yes,furnished
6206425,2379,4,4,4,yes,no,no,no,yes,2,yes,furnished
6370689,5462,5,2,3,yes,yes,yes,no,yes,2,no,semi-furnished
4701695,6720,4,2,4,yes,yes,no,no,yes,2,no,unfurnished
5908361,7224,5,4,4,yes,yes,no,no,yes,2,yes,furnished
5221848,7312,4,4,3,no,no,no,no,no,0,yes,semi-furnished
2140503,3405,5,2,3,yes,no,no,no,yes,3,no,unfurnished
4923226,4233,3,2,3,yes,no,yes,no,no,0,yes,unfurnished
7702946,4004,5,2,2,yes,no,no,no,no,0,yes,furnished
5590833,4263,4,2,3,yes,no,no,no,yes,2,no,furnished
2953041,3867,4,4,4,yes,no,yes,no,yes,3,no,furnished
5267176,4060,5,2,4,yes,no,yes,no,no,2,no,unfurnished
5931891,4846,4,2,4,no,yes,no,no,no,0,yes,unfurnished
4438855,6186,4,2,4,yes,yes,yes,no,no,2,no,furnished
4520336,3661,4,2,3,yes,yes,no,no,no,0,yes,unfurnished
6049869,7347,4,2,4,no,no,yes,no,no,2,yes,furnished
6223572,6433,3,4,3,yes,no,no,yes,no,3,yes,unfurnished
2881315,8643,5,2,1,yes,no,yes,no,no,0,yes,furnished
4201897,6059,3,4,1,yes,no,yes,no,yes,2,no,unfurnished
4044172,3241,4,4,2,yes,no,no,no,no,2,no,semi-furnished
1750000,7975,4,2,3,yes,yes,no,no,no,0,yes,furnished
4990181,6557,5,2,1,yes,yes,no,no,yes,0,yes,furnished
6283325,9219,4,4,2,no,no,no,no,yes,3,yes,unfurnished
3920815,1650,4,2,3,yes,yes,no,no,yes,2,yes,unfurnished
1901167,5400,4,2,4,yes,no,no,no,yes,2,yes,unfurnished
2019762,4206,4,2,3,yes,no,no,no,yes,2,yes,unfurnished
4706667,8044,4,2,3,yes,no,no,no,yes,2,no,semi-furnished
1777121,6712,5,2,4,yes,no,yes,no,yes,0,yes,semi-furnished
2196907,7221,4,4,3,yes,no,yes,yes,no,2,yes,furnished
3993672,5620,4,1,4,no,no,no,no,yes,2,yes,unfurnished
5831727,5237,4,2,3,yes,no,no,no,yes,2,yes,semi-furnished
7048188,4172,3,2,2,no,no,no,no,no,3,yes,semi-furnished
3104218,4587,5,2,3,no,yes,no,no,yes,2,yes,semi-furnished
3943033,4161,4,4,3,yes,no,no,no,no,2,yes,furnished
2692708,3210,4,2,3,yes,no,no,no,yes,2,no,semi-furnished
8145176,2545,4,2,3,yes,no,yes,no,no,2,yes,unfurnished
3500159,3809,4,2,2,yes,yes,yes,no,no,3,yes,semi-furnished
1750000,3215,4,4,4,yes,no,no,no,yes,0,yes,semi-furnished
6537665,6990,3,2,4,yes,no,no,no,yes,0,yes,unfurnished
2451243,5958,4,2,4,yes,no,no,no,yes,3,no,furnished
2857524,5469,3,2,3,yes,yes,yes,no,no,3,yes,semi-furnished
3657850,4983,5,2,3,no,yes,yes,no,yes,2,yes,furnished
3761562,2167,4,2,4,yes,no,no,no,yes,2,yes,semi-furnished
5903204,5682,4,4,4,yes,yes,no,no,yes,2,no,semi-furnished
6736441,3985,3,2,4,yes,no,no,no,yes,0,yes,furnished
5836080,4735,4,2,1,no,yes,no,no,no,2,yes,unfurnished
3188165,4898,5,2,4,yes,yes,no,no,yes,1,no,furnished
6076636,4560,4,1,4,yes,yes,no,no,yes,0,yes,unfurnished
5779815,7243,5,2,3,yes,no,no,no,yes,2,no,furnished
3002203,5064,2,2,4,no,no,no,no,no,0,no,semi-furnished
8756948,6259,5,2,3,yes,no,no,no,yes,2,yes,semi-furnished
7038176,6460,4,4,3,yes,no,no,no,yes,0,no,semi-furnished
3457725,7091,3,4,3,yes,no,yes,no,yes,2,yes,furnished
2630723,7064,2,2,3,yes,no,no,no,yes,2,yes,semi-furnished
6302548,6636,4,2,4,yes,no,no,no,yes,2,no,semi-furnished
2664498,6969,4,4,4,yes,no,yes,no,yes,2,yes,unfurnished
5431680,2435,4,4,2,yes,yes,no,no,yes,0,yes,unfurnished
4358010,6004,4,2,4,yes,no,no,no,yes,3,yes,furnished
6052998,7147,4,2,3,yes,no,no,no,no,3,yes,semi-furnished
5818760,6301,4,2,2,yes,no,no,no,no,3,yes,furnished
5634649,7385,4,2,4,yes,no,yes,no,no,0,yes,unfurnished
6029823,7461,5,2,3,yes,no,no,no,no,0,no,unfurnished
7432554,4545,4,2,4,yes,yes,no,no,yes,2,yes,semi-furnished
7553151,6517,4,2,3,no,no,no,no,yes,3,yes,furnished
6660126,4907,4,2,3,yes,no,no,no,no,2,yes,unfurnished
5803108,6975,4,2,3,yes,no,yes,no,yes,2,yes,furnished
1750000,3440,4,2,4,yes,no,no,no,no,2,yes,semi-furnished
5598697,8492,4,4,4,no,yes,no,no,yes,0,no,unfurnished
3819111,7221,4,2,3,yes,no,no,no,yes,0,yes,furnished
6177763,5852,4,2,3,yes,no,yes,no,yes,3,no,semi-furnished
7624790,3952,4,2,4,no,yes,no,no,no,3,no,furnished
9149191,2087,4,2,3,yes,no,no,no,yes,2,yes,furnished
2803632,6761,4,2,3,yes,yes,no,no,yes,2,yes,furnished
2926171,9708,3,2,4,yes,no,yes,no,no,3,no,unfurnished
3506026,4808,4,2,2,yes,yes,yes,no,yes,3,yes,unfurnished
3603565,6749,5,2,3,yes,no,yes,no,yes,0,yes,unfurnished
4975052,6157,3,2,3,yes,no,no,no,no,2,yes,unfurnished
5512815,3245,3,2,4,yes,no,yes,no,no,2,no,furnished
7318911,5892,4,4,3,yes,no,yes,no,yes,2,yes,semi-furnished
2576237,6617,4,2,3,yes,no,no,no,yes,1,yes,semi-furnished
4925489,4939,5,4,2,yes,no,no,no,yes,3,no,furnished
4181710,2089,4,2,3,no,no,no,no,yes,0,yes,furnished
9331643,5908,4,2,2,yes,no,no,no,no,2,yes,unfurnished
5938910,3830,3,4,3,yes,no,no,no,yes,2,no,furnished
8974755,1650,4,2,2,yes,no,no,no,no,0,yes,furnished
4114549,6421,4,4,4,yes,no,no,no,yes,2,yes,semi-furnished
2483527,5276,4,2,4,yes,yes,no,no,no,0,yes,unfurnished
5339065,8954,4,2,4,no,no,no,yes,yes,3,yes,semi-furnished
2691177,5955,4,2,3,yes,no,no,no,yes,2,yes,semi-furnished
4149024,5571,4,4,1,yes,no,no,no,yes,2,yes,unfurnished
6102325,3522,3,2,4,no,no,yes,no,no,3,no,furnished
8465329,5829,4,4,4,yes,no,no,no,yes,0,no,furnished
7264166,3514,3,4,3,yes,no,no,no,yes,2,yes,semi-furnished
5177893,7007,5,2,4,yes,no,yes,no,yes,3,yes,furnished
1750000,5944,5,2,4,yes,no,no,no,yes,2,yes,furnished
3192723,4279,4,2,3,yes,no,yes,yes,yes,2,yes,unfurnished
3672964,8198,4,2,3,yes,no,no,no,no,2,yes,furnished
7816694,3278,4,4,3,yes,no,no,no,no,2,yes,semi-furnished
4241769,4015,4,2,4,yes,yes,yes,no,yes,2,yes,semi-furnished
2569055,3235,3,2,4,yes,yes,yes,no,yes,0,yes,furnished
8615891,2993,4,4,2,yes,no,yes,no,no,2,yes,furnished
7271491,6206,3,2,3,yes,no,no,no,yes,2,yes,semi-furnished
6122144,3573,4,2,4,yes,yes,no,no,yes,2,yes,semi-furnished
1750000,3566,5,2,3,no,no,no,no,yes,0,yes,unfurnished
1838269,7169,4,2,1,no,no,no,no,yes,3,yes,furnished
5538852,8504,4,4,4,yes,no,no,no,yes,2,yes,furnished
9379119,3010,4,2,4,yes,no,no,no,no,2,no,unfurnished
6487187,3248,4,2,3,yes,no,yes,no,yes,0,yes,semi-furnished
6089237,7698,4,2,3,yes,yes,yes,no,yes,3,yes,furnished
3153369,5687,4,2,4,yes,no,yes,no,no,2,yes,semi-furnished
5241666,8951,3,2,4,yes,no,yes,no,yes,2,yes,semi-furnished
3954837,4378,4,2,4,yes,no,no,no,no,2,no,semi-furnished
2214730,2242,5,2,1,yes,no,yes,yes,yes,0,yes,unfurnished
7145893,6266,4,2,3,yes,no,no,no,yes,0,yes,unfurnished
4289851,2702,4,2,3,no,no,no,no,no,3,no,unfurnished
3808906,2542,4,4,2,yes,no,no,no,no,2,yes,semi-furnished
2620538,5554,4,4,4,yes,yes,no,no,yes,2,no,furnished
1750000,3573,4,4,3,yes,no,yes,no,yes,2,yes,furnished
5166323,2179,4,4,3,yes,no,no,no,no,0,yes,furnished
4858101,4975,4,4,4,yes,no,no,no,yes,2,yes,furnished
6123256,4208,4,2,1,yes,no,no,yes,yes,2,no,semi-furnished
5573223,4608,4,2,3,no,no,yes,no,yes,2,no,semi-furnished
6403955,3772,4,2,2,yes,no,no,no,no,3,yes,furnished
1998816,2626,3,2,1,yes,no,yes,no,yes,2,no,unfurnished
2915879,6121,3,2,3,yes,yes,no,no,yes,3,yes,unfurnished
6054888,9371,4,2,3,no,no,yes,no,yes,3,yes,furnished
5107838,2599,3,2,2,yes,no,no,no,yes,3,yes,furnished
1750000,7661,2,2,3,yes,no,yes,no,yes,2,yes,furnished
5456231,1650,4,2,4,no,no,no,no,yes,0,yes,furnished
5714169,3939,5,2,4,yes,no,no,no,yes,2,yes,semi-furnished
5568637,6628,4,2,4,no,no,yes,no,yes,2,yes,furnished
5669501,2433,4,2,4,yes,no,yes,no,no,2,yes,unfurnished
1750000,6446,4,4,2,no,no,yes,no,yes,0,yes,unfurnished
9453139,8630,4,2,3,yes,no,yes,no,no,2,yes,unfurnished
5533612,4500,3,4,4,yes,no,yes,no,no,0,yes,furnished
5439655,7488,4,2,4,yes,no,yes,no,no,2,yes,furnished
5646846,7218,5,2,4,yes,no,no,no,yes,3,yes,unfurnished
6141318,5803,5,2,4,no,no,yes,no,yes,3,yes,furnished
2447799,4364,5,2,4,yes,no,no,no,no,2,yes,semi-furnished
7605533,3657,4,2,3,no,yes,no,no,yes,2,no,semi-furnished
3223862,10200,4,2,4,yes,yes,no,no,no,2,yes,unfurnished
4659406,6949,4,2,3,yes,yes,no,no,yes,1,yes,unfurnished
5830564,4151,5,2,3,yes,no,no,no,yes,0,yes,unfurnished
1750000,7443,3,2,3,yes,no,no,no,no,2,yes,semi-furnished
6695472,5752,5,2,3,yes,no,yes,no,no,0,yes,furnished
5403808,3336,3,4,4,yes,no,no,no,yes,0,yes,unfurnished
4760718,2426,5,4,3,yes,no,yes,no,no,0,no,furnished
3193111,4885,4,2,4,yes,no,no,no,no,2,yes,furnished
2982088,5324,4,2,3,yes,no,yes,no,no,0,yes,semi-furnished
4234775,6437,4,2,2,yes,no,no,no,no,2,no,furnished
4584577,6765,4,4,3,yes,no,no,no,yes,2,yes,semi-furnished
5961723,1650,1,2,3,yes,yes,yes,no,yes,2,yes,furnished
5511909,4799,3,2,4,no,no,yes,no,yes,3,yes,semi-furnished
4793891,9839,4,2,4,yes,yes,no,no,yes,0,no,semi-furnished
5227332,2888,5,2,4,no,no,yes,no,no,0,yes,furnished
3887557,4716,3,2,1,yes,no,no,no,yes,3,yes,furnished
3570352,3079,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
2663656,4758,4,2,2,yes,no,no,no,yes,2,yes,unfurnished
7020817,4844,4,2,3,yes,no,no,no,yes,2,no,semi-furnished
8288179,5620,4,2,3,yes,no,no,no,no,0,yes,furnished
2120919,6542,3,4,3,yes,no,no,no,yes,0,no,unfurnished
6463663,1650,5,4,1,yes,no,no,no,yes,3,yes,furnished
6007861,5251,3,2,1,yes,no,no,no,yes,3,yes,furnished
3878863,7189,4,2,4,no,no,no,no,yes,0,yes,furnished
4179357,4164,4,2,4,yes,no,yes,no,yes,2,no,furnished
2460694,1650,3,2,2,no,no,no,no,no,3,no,unfurnished
7650613,1650,5,2,3,yes,no,yes,no,yes,2,yes,furnished
8312415,4702,4,2,3,yes,no,yes,yes,yes,2,no,semi-furnished
2772252,5733,5,2,1,yes,yes,no,no,yes,2,yes,semi-furnished
5693868,4603,4,4,3,no,no,yes,no,no,3,yes,semi-furnished
5799400,4167,4,4,3,no,no,no,no,no,3,yes,semi-furnished
7219344,2737,5,2,3,yes,no,no,no,yes,0,yes,furnished
2879205,4286,3,2,4,yes,no,yes,no,no,2,yes,unfurnished
1873510,3868,4,2,3,no,no,no,no,yes,1,yes,unfurnished
3984842,2502,3,2,3,yes,no,yes,no,yes,3,yes,furnished
2600355,6071,4,2,3,yes,no,yes,no,yes,0,yes,furnished
4435142,6183,4,2,3,no,no,yes,no,yes,2,yes,furnished
5812549,3121,4,2,2,yes,no,no,no,yes,2,no,unfurnished
7391093,5790,4,2,1,no,no,no,no,no,2,yes,semi-furnished
