area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price
4856,3,2,1,yes,yes,no,no,yes,0,yes,furnished,7335600
2914,3,1,1,yes,no,yes,no,yes,1,no,semi-furnished,6291400
5017,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,6701700
5682,3,1,1,no,no,no,no,yes,0,yes,furnished,6718200
4898,2,2,1,yes,yes,no,yes,yes,1,yes,furnished,7039800
6815,3,2,2,yes,no,no,no,no,2,no,furnished,6881500
7368,4,3,1,yes,yes,no,no,yes,1,yes,semi-furnished,7086800
4604,3,2,2,yes,no,yes,no,no,0,no,furnished,6610400
4902,3,2,2,yes,yes,yes,yes,yes,0,no,semi-furnished,6890200
6831,4,2,2,yes,yes,no,no,no,1,yes,semi-furnished,6583100
5347,4,3,1,yes,no,no,no,yes,1,yes,furnished,6984700
1607,3,1,1,yes,no,yes,no,no,1,no,unfurnished,5710700
6228,4,1,1,no,yes,no,no,no,1,yes,unfurnished,5822800
5411,2,2,3,yes,yes,no,no,no,0,yes,unfurnished,6441100
4312,2,1,1,yes,no,no,yes,yes,1,no,semi-furnished,5881200
6155,3,1,2,yes,no,yes,yes,yes,0,yes,unfurnished,7115500
4991,3,2,1,yes,yes,no,no,yes,1,yes,furnished,7449100
6340,5,2,1,yes,no,no,yes,yes,0,no,furnished,6484000
6890,4,1,2,yes,yes,no,no,yes,1,yes,semi-furnished,6939000
4246,2,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,6174600
5001,3,1,2,no,yes,yes,yes,no,1,yes,semi-furnished,6950100
5868,3,1,1,yes,no,no,no,no,3,no,furnished,6686800
6292,3,2,1,yes,no,yes,no,yes,2,yes,furnished,7629200
5748,5,1,2,yes,no,yes,no,no,1,no,unfurnished,5924800
5629,5,3,1,yes,no,no,no,yes,2,yes,unfurnished,6612900
5209,3,1,2,no,no,no,no,no,3,no,furnished,6620900
2811,3,2,2,no,no,yes,yes,yes,0,no,furnished,6481100
5883,4,2,1,no,no,yes,no,yes,3,no,semi-furnished,6188300
3721,5,1,1,yes,no,no,yes,yes,1,no,unfurnished,5622100
6493,5,4,2,yes,no,no,no,no,0,yes,furnished,6949300
5957,3,3,2,no,no,yes,no,yes,0,yes,semi-furnished,6995700
4414,4,3,2,no,no,yes,yes,yes,3,no,semi-furnished,6341400
4333,4,3,2,yes,yes,yes,no,yes,2,no,furnished,6933300
4051,3,1,2,yes,no,no,no,yes,1,yes,unfurnished,6755100
7593,2,3,2,no,yes,no,no,yes,1,yes,semi-furnished,6809300
3785,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,6978500
5438,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,6443800
1500,2,1,2,no,no,yes,no,yes,2,yes,furnished,6333700
6421,3,1,1,no,no,yes,no,yes,1,yes,semi-furnished,6742100
6830,3,1,2,no,no,no,no,no,1,no,furnished,6583000
3703,3,1,2,yes,no,yes,no,no,2,no,semi-furnished,6520300
5624,3,3,2,yes,no,no,no,no,1,yes,furnished,7262400
7143,3,3,1,no,no,yes,no,yes,2,yes,unfurnished,7114300
6360,3,1,2,yes,no,no,no,no,0,no,semi-furnished,6436000
5837,2,1,3,no,no,no,no,yes,1,yes,furnished,6633700
3107,5,1,2,yes,no,yes,no,yes,2,no,semi-furnished,6210700
5327,3,2,1,no,no,no,no,yes,0,no,unfurnished,5982700
6282,4,1,1,no,no,yes,no,no,3,yes,semi-furnished,6178200
5477,5,1,1,no,no,yes,no,yes,0,yes,furnished,6347700
5870,3,2,1,no,no,no,no,no,1,no,furnished,6387000
5881,3,1,2,yes,yes,yes,no,no,1,no,semi-furnished,6838100
3700,3,2,1,no,no,yes,no,yes,0,yes,semi-furnished,6570000
4582,3,2,1,no,no,no,no,yes,3,no,semi-furnished,6408200
3340,4,1,1,no,no,no,no,yes,1,yes,semi-furnished,5784000
7387,3,1,2,yes,no,no,no,no,1,yes,unfurnished,6838700
3622,3,2,1,yes,yes,no,no,no,0,yes,unfurnished,6462200
5167,4,2,3,no,no,yes,no,no,0,no,semi-furnished,5866700
4687,3,2,2,yes,yes,yes,no,yes,1,yes,furnished,7568700
3708,4,1,1,no,no,no,no,yes,2,no,semi-furnished,5520800
6200,3,2,1,yes,no,yes,yes,no,1,no,furnished,6970000
4742,4,2,1,yes,no,no,no,yes,0,yes,furnished,6624200
6021,5,1,1,yes,no,yes,yes,no,1,yes,semi-furnished,6352100
3781,3,1,1,yes,no,no,no,yes,2,no,furnished,6628100
6761,2,2,1,no,yes,yes,no,no,2,yes,unfurnished,6326100
4292,3,2,2,yes,no,no,no,no,1,yes,semi-furnished,6629200
5543,5,2,2,yes,yes,no,no,no,0,yes,unfurnished,6154300
6517,2,3,1,yes,no,no,no,no,0,no,furnished,6351700
5369,5,1,1,no,yes,no,no,yes,1,yes,unfurnished,5986900
4700,3,2,2,yes,no,no,no,no,3,no,semi-furnished,6470000
3989,3,4,2,yes,no,no,no,yes,1,yes,unfurnished,7048900
4966,3,1,3,yes,yes,no,no,yes,0,no,unfurnished,6546600
6677,4,1,1,yes,no,yes,no,yes,0,yes,unfurnished,6267700
5136,3,1,1,yes,no,yes,yes,no,1,no,unfurnished,6163600
4364,2,3,3,no,no,no,no,no,2,yes,unfurnished,5936400
7234,3,1,1,yes,no,no,no,yes,0,yes,semi-furnished,6873400
4462,3,3,1,no,no,no,yes,no,1,no,furnished,6546200
5214,5,2,1,no,yes,no,no,yes,0,yes,semi-furnished,6271400
4757,2,1,1,yes,no,no,no,no,0,yes,furnished,6175700
5265,3,2,1,no,yes,yes,no,no,0,no,furnished,6576500
5586,3,2,2,yes,no,yes,no,no,1,yes,furnished,7208600
6725,3,1,1,yes,yes,no,no,no,2,yes,furnished,7272500
3259,3,1,2,yes,yes,no,no,yes,0,yes,furnished,7275900
3689,3,1,1,no,yes,yes,no,no,0,no,furnished,6218900
2616,5,1,2,yes,yes,no,no,no,0,yes,furnished,6461600
4137,3,2,2,yes,yes,no,no,no,0,no,semi-furnished,6313700
5569,3,1,2,no,no,no,no,yes,1,yes,unfurnished,6606900
4738,4,1,1,yes,no,yes,no,yes,0,yes,furnished,6573800
6373,5,1,3,yes,no,yes,no,no,1,yes,furnished,6887300
4173,2,1,1,yes,yes,no,no,no,1,no,semi-furnished,5717300
3534,4,1,2,yes,yes,yes,no,yes,1,no,semi-furnished,6353400
4846,3,2,1,yes,no,no,no,no,1,no,furnished,6584600
6642,3,1,2,no,no,no,no,yes,0,no,furnished,6714200
8930,2,1,3,yes,no,no,no,no,0,yes,unfurnished,6393000
4205,5,2,2,no,no,yes,no,no,0,no,unfurnished,5270500
6572,3,1,2,yes,yes,yes,no,yes,3,no,semi-furnished,7357200
3129,3,2,2,yes,no,no,yes,no,1,no,semi-furnished,6212900
4345,2,1,2,yes,no,no,no,yes,0,no,unfurnished,5784500
3372,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,6287200
7822,2,2,2,yes,no,no,no,no,2,yes,furnished,6882200
3007,2,2,1,yes,no,no,yes,yes,0,no,semi-furnished,5850700
5548,3,2,1,yes,yes,no,no,yes,1,yes,unfurnished,7004800
5442,4,2,3,no,no,yes,no,yes,2,yes,semi-furnished,6744200
3229,2,3,1,yes,no,yes,yes,yes,0,no,furnished,6522900
5513,3,1,2,yes,no,yes,no,yes,2,no,semi-furnished,6951300
6186,2,1,2,no,no,no,no,no,1,no,semi-furnished,5718600
5678,5,1,2,yes,no,yes,no,no,1,no,furnished,6417800
5878,2,3,1,no,no,yes,no,no,1,yes,unfurnished,6137800
5522,2,1,1,yes,yes,no,no,no,1,yes,semi-furnished,6252200
7221,3,1,2,no,no,no,no,yes,1,no,unfurnished,6372100
4734,3,2,2,yes,no,no,yes,yes,0,yes,furnished,7223400
5290,4,1,1,yes,yes,yes,no,no,2,yes,furnished,6779000
6202,3,2,1,yes,no,no,yes,no,3,no,furnished,7020200
3709,3,1,2,yes,no,no,no,yes,1,no,semi-furnished,6520900
5866,4,3,3,yes,no,no,yes,yes,1,yes,furnished,7136600
3542,3,3,1,yes,yes,yes,no,no,1,no,furnished,7004200
6736,4,2,2,yes,yes,no,yes,yes,0,yes,semi-furnished,6823600
5603,4,2,2,yes,yes,no,yes,yes,2,no,unfurnished,6310300
5807,2,2,1,yes,yes,yes,no,yes,0,no,furnished,6680700
4114,3,1,2,no,yes,no,no,no,2,yes,semi-furnished,6711400
4645,2,1,2,yes,no,yes,no,yes,1,yes,furnished,6964500
6660,5,2,1,yes,no,no,no,yes,1,no,unfurnished,6016000
6276,2,4,1,yes,yes,yes,no,yes,0,no,furnished,7127600
3391,4,2,1,no,no,yes,yes,no,0,no,furnished,5789100
7311,3,1,1,no,yes,no,no,no,0,yes,semi-furnished,6531100
6565,2,4,1,yes,yes,no,no,no,0,no,unfurnished,6256500
5538,3,1,1,yes,no,yes,no,yes,0,no,furnished,6753800
4550,3,1,2,yes,no,no,no,no,2,yes,unfurnished,6655000
3412,3,3,1,no,yes,no,no,yes,1,no,furnished,6791200
4049,3,1,1,yes,no,yes,no,yes,0,no,semi-furnished,6304900
2841,2,2,1,yes,yes,no,no,yes,1,yes,semi-furnished,6434100
2024,3,3,1,yes,no,no,no,yes,1,yes,semi-furnished,6852400
4965,4,1,2,no,yes,yes,no,yes,0,no,furnished,6396500
5263,3,1,1,no,no,yes,no,yes,1,no,semi-furnished,6226300
3362,2,1,1,no,yes,no,yes,yes,2,no,unfurnished,5586200
2779,2,2,2,yes,no,yes,no,yes,0,no,semi-furnished,5877900
5688,5,2,2,no,yes,no,no,yes,1,yes,semi-furnished,6418800
5692,2,1,1,yes,yes,yes,no,no,1,yes,semi-furnished,6419200
6820,3,2,1,yes,no,no,no,yes,2,yes,semi-furnished,7232000
5406,3,2,3,no,yes,yes,no,yes,1,no,furnished,7240600
3074,4,2,2,yes,no,no,no,yes,1,no,furnished,6157400
7520,3,1,1,yes,yes,yes,no,yes,2,no,semi-furnished,7052000
5011,2,2,1,yes,no,no,no,no,2,no,semi-furnished,5901100
8032,4,4,1,no,no,no,no,no,1,no,unfurnished,6003200
7179,2,1,3,yes,yes,yes,no,no,1,no,furnished,6767900
3143,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,7014300
4188,3,1,2,yes,yes,no,no,no,0,yes,unfurnished,6618800
3915,4,4,2,yes,yes,no,no,yes,1,yes,semi-furnished,6941500
4289,4,2,2,yes,no,yes,no,yes,3,no,unfurnished,6128900
6534,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,6753400
1500,4,4,1,no,yes,yes,yes,yes,0,no,semi-furnished,6139800
3692,5,1,1,yes,no,no,no,yes,2,yes,furnished,6519200
2394,3,2,2,yes,no,yes,no,yes,0,no,unfurnished,6139400
1500,4,2,2,yes,yes,no,no,no,1,yes,furnished,6303200
1762,3,2,2,yes,yes,yes,no,yes,0,no,unfurnished,6276200
5095,3,2,1,no,no,yes,no,yes,3,no,furnished,6909500
5882,2,1,1,yes,yes,yes,no,yes,3,no,semi-furnished,6488200
6376,3,3,1,no,yes,yes,no,yes,0,no,furnished,7137600
4684,3,2,3,no,yes,no,no,no,0,yes,semi-furnished,6768400
2069,3,1,1,yes,yes,no,no,no,0,no,furnished,6206900
5161,3,1,1,yes,yes,no,no,yes,0,no,semi-furnished,6466100
8263,4,4,1,no,yes,no,no,yes,1,no,semi-furnished,6676300
7288,3,2,2,yes,yes,yes,no,yes,1,no,semi-furnished,7128800
5819,2,2,2,no,yes,no,no,yes,1,no,unfurnished,5831900
5308,5,4,1,yes,no,yes,yes,yes,0,yes,furnished,7330800
4823,5,2,1,yes,no,no,no,yes,0,no,semi-furnished,5932300
5543,5,1,2,yes,no,no,no,yes,2,yes,unfurnished,6504300
3551,5,2,1,no,yes,yes,no,yes,1,no,semi-furnished,5955100
3818,5,2,1,yes,no,no,no,no,0,yes,semi-furnished,5981800
5794,4,2,1,yes,no,yes,yes,yes,0,yes,semi-furnished,6679400
3597,2,1,1,yes,no,yes,no,yes,0,no,furnished,6059700
5503,4,1,1,yes,no,no,no,no,0,no,furnished,5850300
5456,2,4,2,yes,no,no,no,yes,0,no,furnished,6695600
5101,3,2,2,yes,no,no,no,yes,0,no,furnished,6760100
4589,3,4,2,yes,yes,yes,no,no,0,yes,semi-furnished,7308900
3023,3,3,1,yes,no,no,no,yes,1,no,semi-furnished,6552300
5470,2,2,2,yes,yes,no,no,yes,0,no,furnished,6497000
6166,3,1,1,yes,no,yes,no,no,3,yes,furnished,7266600
6922,4,2,3,no,yes,no,yes,yes,0,no,furnished,6742200
1500,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,6155000
1500,3,2,1,yes,no,no,no,no,0,no,semi-furnished,5826800
5917,2,2,2,no,no,no,no,yes,0,no,unfurnished,5541700
3887,3,1,3,yes,yes,no,no,yes,1,yes,semi-furnished,7138700
3623,4,1,1,no,yes,no,no,no,0,no,furnished,5562300
5732,3,1,1,yes,no,yes,yes,yes,1,no,semi-furnished,6673200
4979,3,3,2,yes,no,yes,no,yes,0,no,semi-furnished,6797900
4774,3,3,1,yes,no,no,no,no,0,yes,furnished,7077400
3545,3,2,1,yes,no,no,no,no,1,no,unfurnished,5954500
5273,3,2,1,yes,no,no,no,yes,3,no,semi-furnished,6777300
3474,2,2,2,yes,no,no,yes,no,3,yes,furnished,6647400
7110,4,2,1,yes,no,no,no,no,2,yes,semi-furnished,6511000
9192,3,2,1,no,no,yes,no,yes,2,yes,semi-furnished,7319200
5656,3,1,2,no,yes,yes,yes,yes,1,yes,furnished,7565600
4644,5,1,1,yes,no,no,no,yes,0,yes,semi-furnished,6114400
3155,3,2,1,yes,no,yes,no,yes,1,yes,furnished,7215500
5044,4,2,3,yes,yes,yes,no,yes,1,yes,unfurnished,6904400
3880,3,2,1,yes,yes,no,no,yes,3,no,semi-furnished,6838000
2741,4,2,2,yes,yes,no,no,yes,3,no,furnished,6524100
1802,4,2,2,yes,no,yes,no,no,1,no,furnished,5930200
4461,3,2,1,yes,yes,yes,no,yes,1,no,furnished,7146100
6516,2,3,3,yes,yes,yes,no,yes,1,yes,furnished,7451600
5631,2,3,3,no,yes,yes,no,yes,3,yes,furnished,7263100
7234,5,2,1,yes,no,yes,no,yes,0,yes,unfurnished,6523400
4342,4,1,1,no,yes,yes,no,yes,1,no,semi-furnished,5834200
3609,3,1,2,no,no,no,yes,yes,0,no,furnished,6510900
6715,4,2,3,yes,no,yes,no,yes,1,yes,semi-furnished,7071500
5430,3,3,2,yes,yes,no,no,yes,1,no,furnished,7293000
6946,5,2,2,no,yes,yes,no,no,1,yes,semi-furnished,6444600
2132,4,1,3,yes,no,no,no,yes,1,yes,unfurnished,6063200
4511,2,1,1,yes,no,yes,yes,no,1,no,unfurnished,5601100
6377,3,1,2,yes,yes,no,no,yes,3,no,furnished,7487700
7375,2,3,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7137500
4975,3,1,1,no,no,yes,no,yes,0,yes,semi-furnished,6497500
6682,2,1,3,no,no,no,no,yes,2,no,semi-furnished,6118200
4430,5,2,2,no,yes,no,no,no,1,yes,furnished,6343000
3871,2,3,2,no,no,no,no,yes,1,no,semi-furnished,5837100
4901,2,3,2,yes,no,yes,no,no,0,yes,semi-furnished,6440100
2248,3,2,1,yes,no,no,yes,yes,1,no,unfurnished,6174800
6840,3,2,2,yes,no,yes,no,yes,3,yes,furnished,7784000
3457,3,1,1,yes,no,yes,no,no,0,no,furnished,6295700
3440,4,1,1,yes,no,no,no,no,1,no,furnished,5744000
4772,4,2,1,yes,no,no,no,no,1,no,unfurnished,5577200
4187,3,1,2,yes,no,no,yes,no,0,yes,furnished,7018700
5291,2,1,1,yes,yes,no,no,yes,1,no,furnished,6379100
6729,3,2,2,yes,no,yes,yes,no,0,no,unfurnished,6422900
3791,4,2,1,yes,yes,yes,no,yes,3,no,semi-furnished,6479100
2901,3,1,2,yes,yes,yes,no,no,1,no,furnished,6840100
7379,3,2,1,yes,yes,no,no,yes,0,yes,semi-furnished,7287900
5491,4,2,1,no,no,no,no,yes,2,no,unfurnished,5699100
4672,3,1,1,yes,no,no,no,no,0,no,furnished,6267200
4365,5,2,1,yes,yes,yes,no,no,1,no,furnished,6386500
2991,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,6249100
7025,3,2,2,no,yes,no,no,yes,1,no,unfurnished,6452500
4167,5,4,1,yes,yes,yes,no,yes,0,yes,semi-furnished,7016700
5993,3,1,1,yes,no,no,no,yes,0,yes,semi-furnished,6749300
6445,4,3,1,no,yes,yes,no,yes,1,yes,unfurnished,6644500
7473,4,2,2,yes,no,no,no,yes,0,yes,furnished,6897300
4912,5,1,1,no,yes,no,no,yes,1,yes,semi-furnished,6141200
6524,4,1,2,yes,no,no,yes,yes,1,yes,semi-furnished,6802400
3179,4,2,1,yes,no,no,no,no,1,yes,furnished,6317900
5415,2,3,1,yes,no,no,no,yes,1,no,semi-furnished,6291500
1590,3,3,2,no,no,yes,no,no,0,yes,semi-furnished,6309000
3666,3,2,2,yes,no,no,no,yes,2,yes,semi-furnished,6916600
5228,2,2,1,yes,no,no,no,yes,1,no,furnished,6372800
8000,3,1,3,no,no,yes,no,no,0,yes,semi-furnished,6850000
4044,3,1,1,yes,no,no,no,yes,1,no,semi-furnished,6254400
4238,3,1,1,no,no,no,no,no,1,yes,semi-furnished,6123800
4812,3,1,1,yes,no,no,yes,yes,1,no,unfurnished,6231200
3832,2,1,1,yes,yes,yes,no,yes,1,yes,unfurnished,6283200
4715,2,1,1,yes,yes,yes,yes,no,0,yes,furnished,6621500
4565,3,3,1,yes,no,no,no,yes,1,no,semi-furnished,6706500
4798,3,3,1,yes,no,no,no,no,1,yes,unfurnished,6679800
6416,4,2,1,yes,yes,yes,yes,yes,1,no,semi-furnished,6641600
7077,3,1,2,no,yes,no,no,yes,0,yes,unfurnished,6857700
5658,2,2,1,yes,no,no,no,yes,0,yes,semi-furnished,6415800
4811,2,2,1,no,no,no,no,yes,1,yes,semi-furnished,6131100
4914,5,2,3,yes,no,no,yes,yes,2,no,semi-furnished,6541400
4670,4,2,2,yes,no,yes,no,no,1,no,unfurnished,5717000
3242,5,4,2,yes,no,no,no,yes,2,yes,semi-furnished,6774200
7429,3,3,2,yes,yes,no,no,no,2,yes,unfurnished,7242900
4505,4,2,1,no,no,no,no,yes,1,yes,semi-furnished,6100500
6114,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,6661400
6183,4,2,1,yes,no,yes,no,no,3,yes,furnished,6968300
3000,2,3,2,no,no,yes,no,yes,2,no,furnished,6300000
6040,3,3,2,yes,yes,no,no,yes,0,no,semi-furnished,6954000
7670,3,3,1,no,yes,no,no,yes,0,yes,furnished,7517000
4369,5,2,1,yes,no,yes,no,no,2,no,semi-furnished,5986900
6304,3,2,1,yes,no,no,no,no,1,no,unfurnished,6230400
4332,4,2,3,no,no,no,no,yes,1,no,semi-furnished,5983200
6326,2,1,1,yes,yes,no,no,yes,3,no,furnished,6682600
3634,3,3,2,yes,no,no,no,no,0,no,furnished,6563400
